p,ID,gamma,delta,items,w
0.01,1,0.44910520090914713,0.7707989232132457,1,0.0891530794214948
0.05,1,0.44910520090914713,0.7707989232132457,1,0.17041476508504017
0.15,1,0.44910520090914713,0.7707989232132457,1,0.2612761850519338
0.25,1,0.44910520090914713,0.7707989232132457,1,0.3200112218094912
0.5,1,0.44910520090914713,0.7707989232132457,1,0.4352831442965721
0.75,1,0.44910520090914713,0.7707989232132457,1,0.5580038654988566
0.85,1,0.44910520090914713,0.7707989232132457,1,0.6268415376165238
0.95,1,0.44910520090914713,0.7707989232132457,1,0.7430792672316217
0.99,1,0.44910520090914713,0.7707989232132457,1,0.8585579982256573
0.01,1,0.44910520090914713,0.7707989232132457,1,0.0891530794214948
0.05,1,0.44910520090914713,0.7707989232132457,1,0.17041476508504017
0.15,1,0.44910520090914713,0.7707989232132457,1,0.2612761850519338
0.25,1,0.44910520090914713,0.7707989232132457,1,0.3200112218094912
0.5,1,0.44910520090914713,0.7707989232132457,1,0.4352831442965721
0.75,1,0.44910520090914713,0.7707989232132457,1,0.5580038654988566
0.85,1,0.44910520090914713,0.7707989232132457,1,0.6268415376165238
0.95,1,0.44910520090914713,0.7707989232132457,1,0.7430792672316217
0.99,1,0.44910520090914713,0.7707989232132457,1,0.8585579982256573
0.01,1,0.44910520090914713,0.7707989232132457,1,0.0891530794214948
0.05,1,0.44910520090914713,0.7707989232132457,1,0.17041476508504017
0.15,1,0.44910520090914713,0.7707989232132457,1,0.2612761850519338
0.25,1,0.44910520090914713,0.7707989232132457,1,0.3200112218094912
0.5,1,0.44910520090914713,0.7707989232132457,1,0.4352831442965721
0.75,1,0.44910520090914713,0.7707989232132457,1,0.5580038654988566
0.85,1,0.44910520090914713,0.7707989232132457,1,0.6268415376165238
0.95,1,0.44910520090914713,0.7707989232132457,1,0.7430792672316217
0.99,1,0.44910520090914713,0.7707989232132457,1,0.8585579982256573
0.01,1,0.44910520090914713,0.7707989232132457,1,0.0891530794214948
0.05,1,0.44910520090914713,0.7707989232132457,1,0.17041476508504017
0.15,1,0.44910520090914713,0.7707989232132457,1,0.2612761850519338
0.25,1,0.44910520090914713,0.7707989232132457,1,0.3200112218094912
0.5,1,0.44910520090914713,0.7707989232132457,1,0.4352831442965721
0.75,1,0.44910520090914713,0.7707989232132457,1,0.5580038654988566
0.85,1,0.44910520090914713,0.7707989232132457,1,0.6268415376165238
0.95,1,0.44910520090914713,0.7707989232132457,1,0.7430792672316217
0.99,1,0.44910520090914713,0.7707989232132457,1,0.8585579982256573
0.01,1,0.44910520090914713,0.7707989232132457,1,0.0891530794214948
0.05,1,0.44910520090914713,0.7707989232132457,1,0.17041476508504017
0.15,1,0.44910520090914713,0.7707989232132457,1,0.2612761850519338
0.25,1,0.44910520090914713,0.7707989232132457,1,0.3200112218094912
0.5,1,0.44910520090914713,0.7707989232132457,1,0.4352831442965721
0.75,1,0.44910520090914713,0.7707989232132457,1,0.5580038654988566
0.85,1,0.44910520090914713,0.7707989232132457,1,0.6268415376165238
0.95,1,0.44910520090914713,0.7707989232132457,1,0.7430792672316217
0.99,1,0.44910520090914713,0.7707989232132457,1,0.8585579982256573
0.01,1,0.44910520090914713,0.7707989232132457,1,0.0891530794214948
0.05,1,0.44910520090914713,0.7707989232132457,1,0.17041476508504017
0.15,1,0.44910520090914713,0.7707989232132457,1,0.2612761850519338
0.25,1,0.44910520090914713,0.7707989232132457,1,0.3200112218094912
0.5,1,0.44910520090914713,0.7707989232132457,1,0.4352831442965721
0.75,1,0.44910520090914713,0.7707989232132457,1,0.5580038654988566
0.85,1,0.44910520090914713,0.7707989232132457,1,0.6268415376165238
0.95,1,0.44910520090914713,0.7707989232132457,1,0.7430792672316217
0.99,1,0.44910520090914713,0.7707989232132457,1,0.8585579982256573
0.01,1,0.44910520090914713,0.7707989232132457,1,0.0891530794214948
0.05,1,0.44910520090914713,0.7707989232132457,1,0.17041476508504017
0.15,1,0.44910520090914713,0.7707989232132457,1,0.2612761850519338
0.25,1,0.44910520090914713,0.7707989232132457,1,0.3200112218094912
0.5,1,0.44910520090914713,0.7707989232132457,1,0.4352831442965721
0.75,1,0.44910520090914713,0.7707989232132457,1,0.5580038654988566
0.85,1,0.44910520090914713,0.7707989232132457,1,0.6268415376165238
0.95,1,0.44910520090914713,0.7707989232132457,1,0.7430792672316217
0.99,1,0.44910520090914713,0.7707989232132457,1,0.8585579982256573
0.01,1,0.44910520090914713,0.7707989232132457,1,0.0891530794214948
0.05,1,0.44910520090914713,0.7707989232132457,1,0.17041476508504017
0.15,1,0.44910520090914713,0.7707989232132457,1,0.2612761850519338
0.25,1,0.44910520090914713,0.7707989232132457,1,0.3200112218094912
0.5,1,0.44910520090914713,0.7707989232132457,1,0.4352831442965721
0.75,1,0.44910520090914713,0.7707989232132457,1,0.5580038654988566
0.85,1,0.44910520090914713,0.7707989232132457,1,0.6268415376165238
0.95,1,0.44910520090914713,0.7707989232132457,1,0.7430792672316217
0.99,1,0.44910520090914713,0.7707989232132457,1,0.8585579982256573
0.01,1,0.44910520090914713,0.7707989232132457,1,0.0891530794214948
0.05,1,0.44910520090914713,0.7707989232132457,1,0.17041476508504017
0.15,1,0.44910520090914713,0.7707989232132457,1,0.2612761850519338
0.25,1,0.44910520090914713,0.7707989232132457,1,0.3200112218094912
0.5,1,0.44910520090914713,0.7707989232132457,1,0.4352831442965721
0.75,1,0.44910520090914713,0.7707989232132457,1,0.5580038654988566
0.85,1,0.44910520090914713,0.7707989232132457,1,0.6268415376165238
0.95,1,0.44910520090914713,0.7707989232132457,1,0.7430792672316217
0.99,1,0.44910520090914713,0.7707989232132457,1,0.8585579982256573
0.01,1,0.44910520090914713,0.7707989232132457,1,0.0891530794214948
0.05,1,0.44910520090914713,0.7707989232132457,1,0.17041476508504017
0.15,1,0.44910520090914713,0.7707989232132457,1,0.2612761850519338
0.25,1,0.44910520090914713,0.7707989232132457,1,0.3200112218094912
0.5,1,0.44910520090914713,0.7707989232132457,1,0.4352831442965721
0.75,1,0.44910520090914713,0.7707989232132457,1,0.5580038654988566
0.85,1,0.44910520090914713,0.7707989232132457,1,0.6268415376165238
0.95,1,0.44910520090914713,0.7707989232132457,1,0.7430792672316217
0.99,1,0.44910520090914713,0.7707989232132457,1,0.8585579982256573
0.01,2,0.44910520090914713,0.9938421408865894,1,0.11206006075483492
0.05,2,0.44910520090914713,0.9938421408865894,1,0.2094010092377017
0.15,2,0.44910520090914713,0.9938421408865894,1,0.3132012718156162
0.25,2,0.44910520090914713,0.9938421408865894,1,0.3776418691882181
0.5,2,0.44910520090914713,0.9938421408865894,1,0.4984557806791383
0.75,2,0.44910520090914713,0.9938421408865894,1,0.6194502788357549
0.85,2,0.44910520090914713,0.9938421408865894,1,0.6841352375092123
0.95,2,0.44910520090914713,0.9938421408865894,1,0.7885464501679842
0.99,2,0.44910520090914713,0.9938421408865894,1,0.8867048008646297
0.01,2,0.44910520090914713,0.9938421408865894,1,0.11206006075483492
0.05,2,0.44910520090914713,0.9938421408865894,1,0.2094010092377017
0.15,2,0.44910520090914713,0.9938421408865894,1,0.3132012718156162
0.25,2,0.44910520090914713,0.9938421408865894,1,0.3776418691882181
0.5,2,0.44910520090914713,0.9938421408865894,1,0.4984557806791383
0.75,2,0.44910520090914713,0.9938421408865894,1,0.6194502788357549
0.85,2,0.44910520090914713,0.9938421408865894,1,0.6841352375092123
0.95,2,0.44910520090914713,0.9938421408865894,1,0.7885464501679842
0.99,2,0.44910520090914713,0.9938421408865894,1,0.8867048008646297
0.01,2,0.44910520090914713,0.9938421408865894,1,0.11206006075483492
0.05,2,0.44910520090914713,0.9938421408865894,1,0.2094010092377017
0.15,2,0.44910520090914713,0.9938421408865894,1,0.3132012718156162
0.25,2,0.44910520090914713,0.9938421408865894,1,0.3776418691882181
0.5,2,0.44910520090914713,0.9938421408865894,1,0.4984557806791383
0.75,2,0.44910520090914713,0.9938421408865894,1,0.6194502788357549
0.85,2,0.44910520090914713,0.9938421408865894,1,0.6841352375092123
0.95,2,0.44910520090914713,0.9938421408865894,1,0.7885464501679842
0.99,2,0.44910520090914713,0.9938421408865894,1,0.8867048008646297
0.01,2,0.44910520090914713,0.9938421408865894,1,0.11206006075483492
0.05,2,0.44910520090914713,0.9938421408865894,1,0.2094010092377017
0.15,2,0.44910520090914713,0.9938421408865894,1,0.3132012718156162
0.25,2,0.44910520090914713,0.9938421408865894,1,0.3776418691882181
0.5,2,0.44910520090914713,0.9938421408865894,1,0.4984557806791383
0.75,2,0.44910520090914713,0.9938421408865894,1,0.6194502788357549
0.85,2,0.44910520090914713,0.9938421408865894,1,0.6841352375092123
0.95,2,0.44910520090914713,0.9938421408865894,1,0.7885464501679842
0.99,2,0.44910520090914713,0.9938421408865894,1,0.8867048008646297
0.01,2,0.44910520090914713,0.9938421408865894,1,0.11206006075483492
0.05,2,0.44910520090914713,0.9938421408865894,1,0.2094010092377017
0.15,2,0.44910520090914713,0.9938421408865894,1,0.3132012718156162
0.25,2,0.44910520090914713,0.9938421408865894,1,0.3776418691882181
0.5,2,0.44910520090914713,0.9938421408865894,1,0.4984557806791383
0.75,2,0.44910520090914713,0.9938421408865894,1,0.6194502788357549
