ID,item,probability,gamma_true,delta_true,gamma_obs,delta_obs,w_prob
1,1,0.01,0.24,0.77,1.0276169071071684,1.7076718714697519,0.014966048835822334
1,1,0.02,0.24,0.77,0.5943706837887714,-0.39137934740201763,-0.0402853737647658
1,1,0.03,0.24,0.77,0.733017679364427,0.44427138680153333,0.03358994496378576
1,1,0.04,0.24,0.77,0.20966524748908327,-1.2200890736663559,-1.678287921893457
1,1,0.05,0.24,0.77,0.38598933567428084,-0.5455308114017866,-0.21223727769354347
1,1,0.060000000000000005,0.24,0.77,0.6866476022110903,1.6078687140936752,0.19553696084834443
1,1,0.06999999999999999,0.24,0.77,-0.12436805088654035,-0.1661097381532447,-0.2972589689453126
1,1,0.08,0.24,0.77,0.9058333501724387,0.8558077094064356,0.08564023016596689
1,1,0.09,0.24,0.77,0.4481014115385103,-0.7375900919276223,-0.3541972709863413
1,1,0.09999999999999999,0.24,0.77,0.18662431108320632,0.20224089971526016,0.11832887979460147
1,1,0.11,0.24,0.77,0.17091909113555143,0.3347355987536509,0.18973055839658398
1,1,0.12,0.24,0.77,-0.18658362501007164,1.6872302592547963,0.7098886119779492
1,1,0.13,0.24,0.77,0.37783136720038524,-1.6214433883477868,-3.776234693456747
1,1,0.14,0.24,0.77,0.8921970017319322,-2.6081438171098656,-1.0676395073412686
1,1,0.15000000000000002,0.24,0.77,0.23468113069653723,-0.2896569658471443,-0.2388402354307622
1,1,0.16,0.24,0.77,0.4102393908049369,-0.3891063372913221,-0.24544567165033832
1,1,0.17,0.24,0.77,0.9219943696476234,0.3084335121232863,0.06672075449213133
1,1,0.18000000000000002,0.24,0.77,0.4554618363148518,-0.5931804008336901,-0.4231537075205403
1,1,0.19,0.24,0.77,0.22592837461873522,-0.9134299421129304,-1.9262477014288577
1,1,0.2,0.24,0.77,0.31413423325080964,-0.9318099741041296,-1.5178561574823417
1,1,0.21000000000000002,0.24,0.77,0.8213875742854275,-0.9856540684985201,-0.4969265412167079
1,1,0.22,0.24,0.77,0.6887060423922868,-0.06288257530855665,-0.027011151893910217
1,1,0.23,0.24,0.77,0.17374715764215015,-0.7027580724626041,-1.3238435859641713
1,1,0.24000000000000002,0.24,0.77,1.1269488100068386,0.04497943620922307,0.01212171925978442
1,1,0.25,0.24,0.77,0.48660614581909145,-0.388251924965806,-0.2944650992522944
1,1,0.26,0.24,0.77,-0.19354764468288654,-1.4821073787549215,2.2274742159979706
1,1,0.27,0.24,0.77,-0.14860601706640364,-1.7610551234732803,1.9600873817688114
1,1,0.28,0.24,0.77,0.2467977203537059,0.41372204926864675,0.24681870535812292
1,1,0.29000000000000004,0.24,0.77,0.6804221262764516,0.30247076368806025,0.1412423221326761
1,1,0.3,0.24,0.77,0.60698382514606,-0.6471135919131107,-0.6311165272164232
1,1,0.31,0.24,0.77,0.6442515213193685,-0.11662133763165095,-0.07486200337841274
1,1,0.32,0.24,0.77,0.3438833977757041,-0.7642112047164124,-1.4373133997929646
1,1,0.33,0.24,0.77,0.4376024825125748,1.9577838866495019,0.589502621463948
1,1,0.34,0.24,0.77,1.0620928685410027,0.18885763357322205,0.08539209928474925
1,1,0.35000000000000003,0.24,0.77,0.12403947705486551,0.06463349302211857,0.05647590398509945
1,1,0.36000000000000004,0.24,0.77,0.8658052749229078,-0.9312927031550454,-1.3036254728296144
1,1,0.37,0.24,0.77,0.5459793087286012,0.46786506115117454,0.25919539075110865
1,1,0.38,0.24,0.77,0.4896688074635931,-0.7494554796027113,-1.4372987971835
1,1,0.39,0.24,0.77,0.40804579333277624,-1.0973680925769966,-10.667034979467921
1,1,0.4,0.24,0.77,0.8986163869114472,-0.1773582612453652,-0.14051176943543509
1,1,0.41000000000000003,0.24,0.77,0.08615593297925145,-0.27373743346746576,-0.36107536072146024
1,1,0.42000000000000004,0.24,0.77,0.14798237014304233,0.9989633227305392,0.48780192420050794
1,1,0.43,0.24,0.77,1.2844423372354,-1.0998336469859278,-3.269458710651151
1,1,0.44,0.24,0.77,0.19932909058712955,1.073204908234758,0.505644460092303
1,1,0.45,0.24,0.77,0.25685229645943075,0.6598957395696542,0.38527535349507785
1,1,0.46,0.24,0.77,0.3848533420868482,-2.3527689713728903,1.825101434321815
1,1,0.47000000000000003,0.24,0.77,0.473072104042102,0.03650659279775598,0.03333966549963689
1,1,0.48000000000000004,0.24,0.77,0.29547969443102784,0.06882577845863724,0.06298351133248306
1,1,0.49,0.24,0.77,0.5573791089986353,0.927566245312518,0.4756469845027735
1,1,0.5,0.24,0.77,0.16311383170843058,-0.5860086485832403,-1.4155093979084437
1,1,0.51,0.24,0.77,0.6334255052108625,1.0273557251456116,0.5130791764250415
1,1,0.52,0.24,0.77,0.9125689740046306,-0.7747293634742538,-5.0037384417645585
1,1,0.53,0.24,0.77,-0.2006245476115337,-0.13253506355619254,-0.14860495328090076
1,1,0.54,0.24,0.77,1.1659357758659947,-1.354093219584498,2.5811555254431946
1,1,0.55,0.24,0.77,0.15773997863345118,-0.6712127904446836,-2.255198386252955
1,1,0.56,0.24,0.77,0.6660239680512602,-0.4738829531706982,-1.2545450274894216
1,1,0.5700000000000001,0.24,0.77,0.5638787129185189,-1.448442281144374,2.432778146946331
