ID,item,probability,gamma_true,delta_true,gamma_obs,delta_obs,w_prob
1,1,0.01,0.24,0.77,0.3110180385526109,0.7782613286472577,0.1571142628896791
1,1,0.03,0.24,0.77,0.2536123975560748,0.29636315239391464,0.10931556214543112
1,1,0.05,0.24,0.77,0.22770368707821514,0.7063240313371675,0.2653897101196677
1,1,0.06999999999999999,0.24,0.77,0.27804172326503285,0.7751221650105443,0.27409543734533676
1,1,0.09,0.24,0.77,0.28435663970512215,0.836991120011192,0.3024118043848296
1,1,0.11,0.24,0.77,0.37444982730033083,0.5935152394513554,0.21339689299482126
1,1,0.13,0.24,0.77,0.3639993356742194,1.4661168671615281,0.42327818720049987
1,1,0.15000000000000002,0.24,0.77,0.14747792497283962,0.8681329811094258,0.40197906866188454
1,1,0.17,0.24,0.77,0.352795088917215,0.539366496596929,0.2356349877691714
1,1,0.19,0.24,0.77,0.19018179164475021,0.7568959549523204,0.36486850866233533
1,1,0.21000000000000002,0.24,0.77,0.19547887030191452,0.5789970708536346,0.30886032546380887
1,1,0.23,0.24,0.77,-0.035918157716302024,0.4243178366000705,0.3070659725265269
1,1,0.25,0.24,0.77,0.08584908502529753,1.082518267290258,0.49624386967712386
1,1,0.27,0.24,0.77,0.044499688891886297,0.689391699349512,0.39742496201148636
1,1,0.29000000000000004,0.24,0.77,0.1602051149860454,0.6991297794733872,0.3772201787942122
1,1,0.31,0.24,0.77,0.27823094097134493,0.9822696635495348,0.44016132667798674
1,1,0.33,0.24,0.77,0.10234845485584455,1.1043577803062574,0.5066951811260914
1,1,0.35000000000000003,0.24,0.77,0.31279183264500077,0.8668527840795711,0.41665590233715855
1,1,0.37,0.24,0.77,0.26668548720684776,0.7315786482930209,0.38829493635165774
1,1,0.39,0.24,0.77,0.10340638339752432,0.2903957514340815,0.21707983098452507
1,1,0.41000000000000003,0.24,0.77,0.26474036617292085,1.1064896505408686,0.5012090476187641
1,1,0.43,0.24,0.77,0.2548397888138943,0.4993284794201332,0.317276131767724
1,1,0.45,0.24,0.77,0.3667937330636255,0.3591999142349848,0.25021218883794516
1,1,0.47000000000000003,0.24,0.77,0.103772761570577,0.781976028630665,0.4357573347277678
1,1,0.49,0.24,0.77,0.1417027269406133,1.146761183362961,0.532771138117809
1,1,0.51,0.24,0.77,0.187235826878827,0.8982670703879445,0.4750713320697454
