ID,item,probability,gamma_true,delta_true,gamma_obs,delta_obs,w_prob
1,1,0.01,0.26,0.874,0.1782633339390779,0.8507979590692711,0.2727485507695098
1,1,0.02,0.26,0.874,0.11055270706450868,0.8761760220330637,0.36298318553601594
1,1,0.03,0.26,0.874,0.28976985332925687,0.7508986740969621,0.2152182261822488
1,1,0.04,0.26,0.874,0.23558138215774882,0.9235988149782812,0.304032618871031
1,1,0.05,0.26,0.874,0.3008216172936203,1.0527965817953895,0.30273644447987536
1,1,0.060000000000000005,0.26,0.874,0.4114912389806271,0.9202633682806003,0.22875967096479577
1,1,0.06999999999999999,0.26,0.874,0.18402675501426047,0.9260918946309278,0.3652146013400547
1,1,0.08,0.26,0.874,0.1435175611871537,1.0929329125619802,0.4349569500754509
1,1,0.09,0.26,0.874,0.19205296945193057,0.8691189502668375,0.35787120501203923
1,1,0.09999999999999999,0.26,0.874,0.27708686146261013,1.0515242307204602,0.36387578251529035
1,1,0.11,0.26,0.874,0.016863217700580718,0.6653827691337767,0.391109843676278
1,1,0.12,0.26,0.874,0.21497535859493086,0.9550551868941834,0.3835967413457063
1,1,0.13,0.26,0.874,0.19279203276050766,0.8036072320748491,0.3577520373978107
1,1,0.14,0.26,0.874,0.20461436568830588,0.8051617060799225,0.35706023478373045
1,1,0.15000000000000002,0.26,0.874,0.1411960596850663,0.9306538655351952,0.4214590544234985
1,1,0.16,0.26,0.874,-0.015020552769546502,0.898733403405874,0.4795460874798534
1,1,0.17,0.26,0.874,0.17848193990664188,0.895560556284825,0.4029204353928261
1,1,0.18000000000000002,0.26,0.874,0.2840605134804439,0.9399052324837369,0.37925521088377895
1,1,0.19,0.26,0.874,0.23490482468462923,0.8508359497966319,0.37703546684490974
1,1,0.2,0.26,0.874,0.16430595707837647,0.8596188071113836,0.4063578172098181
1,1,0.21000000000000002,0.26,0.874,0.12352202678181862,0.702042700028014,0.3734560671806968
1,1,0.22,0.26,0.874,0.2435804080001561,0.8606200868358939,0.3873669638514488
1,1,0.23,0.26,0.874,0.24648020268157905,0.7974868248793204,0.3718905706128713
1,1,0.24000000000000002,0.26,0.874,0.08352135814295009,0.8922697085168829,0.44762775658476595
1,1,0.25,0.26,0.874,-0.003725518819979068,0.7315356613387886,0.42347690809667643
1,1,0.26,0.26,0.874,0.01601237926203601,0.8770974559228695,0.4630958303754863
1,1,0.27,0.26,0.874,0.12657637877434957,1.1071668517903812,0.49397745199723697
1,1,0.28,0.26,0.874,0.36154146791680775,0.828861544819709,0.370711848780863
1,1,0.29000000000000004,0.26,0.874,0.16692375769999077,0.7808584292173399,0.4020760591881542
1,1,0.3,0.26,0.874,0.09014013303377244,0.919871335907721,0.4601106982586396
1,1,0.31,0.26,0.874,0.12304439878578718,0.8321555876189185,0.4299179185740577
1,1,0.32,0.26,0.874,0.06581947412589369,0.9581741254181017,0.4769317330189538
1,1,0.33,0.26,0.874,0.23556484091243707,0.9848943328357462,0.454614166918185
1,1,0.34,0.26,0.874,0.001219486603290465,0.8455930915633526,0.45796795901032233
1,1,0.35000000000000003,0.26,0.874,0.032591581064268973,0.6606869862970676,0.39301636845593146
1,1,0.36000000000000004,0.26,0.874,0.33697831947452733,0.9749307982067699,0.44540008621488913
1,1,0.37,0.26,0.874,0.09861163851772074,0.7464079571678481,0.41460374580362375
1,1,0.38,0.26,0.874,0.1457606073661746,0.8309042849258647,0.4362002968123807
1,1,0.39,0.26,0.874,0.13787417990256196,0.9420459453422957,0.46969368690938434
1,1,0.4,0.26,0.874,0.1284549421456368,0.9118981870746425,0.4639847494350528
1,1,0.41000000000000003,0.26,0.874,0.04736442032637918,1.0327288543780413,0.5037413458986943
1,1,0.42000000000000004,0.26,0.874,0.06240618128375704,1.0139453643147882,0.49842649707946163
1,1,0.43,0.26,0.874,0.18364534051688258,0.9535665884465225,0.4751937150548257
1,1,0.44,0.26,0.874,0.035943895843695284,0.8532123489696205,0.45824370199270487
1,1,0.45,0.26,0.874,-0.02519201629504475,0.8187453591858052,0.45142200355982326
1,1,0.46,0.26,0.874,0.1679803885423764,0.7190053565828818,0.41172935561974355
1,1,0.47000000000000003,0.26,0.874,0.1410481701477134,1.162152122913596,0.5332825687706791
1,1,0.48000000000000004,0.26,0.874,-0.0027232927999996936,0.8903908041989421,0.47106316495601935
1,1,0.49,0.26,0.874,-0.021213960794233183,0.7512411019808048,0.4291842985761254
1,1,0.5,0.26,0.874,0.11572011424544792,0.8612643148161846,0.46273079431023295
1,1,0.51,0.26,0.874,0.20172683558442422,0.9177793734609626,0.4805777521611754
1,1,0.52,0.26,0.874,-0.05683942640090184,1.0094380073953586,0.5012110391508979
1,1,0.53,0.26,0.874,0.004537745171834445,0.8687420308632954,0.46501628741802215
1,1,0.54,0.26,0.874,0.10838429124691364,0.9276215718494568,0.4855658132826994
1,1,0.55,0.26,0.874,0.16811057805656415,0.854392669313657,0.4691319252622445
1,1,0.56,0.26,0.874,0.018416831356057678,0.8663946197716285,0.46531247237283024
1,1,0.5700000000000001,0.26,0.874,0.12933984296356102,0.8662168183018254,0.4732342482788672
1,1,0.5800000000000001,0.26,0.874,0.01767552682871945,1.060019957517928,0.5159927740994208
1,1,0.59,0.26,0.874,0.07895874066088446,0.8741483121741278,0.4735828779255502
1,1,0.6,0.26,0.874,0.03948390445832384,0.8903715145091239,0.47499409800122006
1,1,0.61,0.26,0.874,0.22322304918892358,0.9355765596253212,0.5083137583984312
1,1,0.62,0.26,0.874,0.11109350120073548,1.0015061622843335,0.5139690277380782
1,1,0.63,0.26,0.874,0.18489094426690245,0.9480190448506803,0.5112534446964686
1,1,0.64,0.26,0.874,0.046992824552818196,0.9571684222804595,0.49581561597673285
1,1,0.65,0.26,0.874,0.15680091363034696,0.8955090373537347,0.49667578595051587
1,1,0.66,0.26,0.874,0.19258977634839264,0.9125980152887662,0.5090699798796362
1,1,0.67,0.26,0.874,0.24305840410683613,0.6790754438273606,0.4464826100768615
1,1,0.68,0.26,0.874,0.1241549080149543,0.9805889641788172,0.5184872096161146
1,1,0.6900000000000001,0.26,0.874,0.14576974569979562,0.9135753193124153,0.5065605563893739
1,1,0.7000000000000001,0.26,0.874,-0.02622994152884564,0.7556078693487784,0.4249568854479131
1,1,0.7100000000000001,0.26,0.874,0.11972966372589142,0.8170641244636554,0.4763093351999916
1,1,0.72,0.26,0.874,0.2077219852827394,0.929376555330307,0.5306973811923165
1,1,0.73,0.26,0.874,0.07981747222302471,0.9237671131952758,0.5000232446647644
